age,sex,education,education-num,marital-status,workclass,occupation,hours-per-week,income,label
27,Male,HS-grad,9,Never-married,Private,Craft-repair,40,<=50K,0
47,Male,Masters,14,Married,Local-gov,Exec-managerial,50,>50K,1
59,Male,HS-grad,9,Divorced,Self-emp,Prof-specialty,20,<=50K,0
38,Female,Prof-school,15,Never-married,Federal-gov,Prof-specialty,57,>50K,1
64,Female,11th,7,Widowed,Private,Farming-fishing,40,<=50K,0
53,Male,Masters,14,Married,Private,Prof-specialty,40,>50K,1
23,Male,HS-grad,9,Married,Private,Handlers-cleaners,40,<=50K,0
52,Female,HS-grad,9,Widowed,Private,Craft-repair,40,<=50K,0
31,Male,HS-grad,9,Never-married,Private,Machine-op-inspct,40,<=50K,0
22,Female,HS-grad,9,Married,Private,Adm-clerical,40,<=50K,0
33,Male,HS-grad,9,Married,Private,Other-service,36,<=50K,0
19,Female,HS-grad,9,Never-married,State-gov,Adm-clerical,20,<=50K,0
20,Female,12th,8,Never-married,Private,Adm-clerical,20,<=50K,0
55,Female,5th-6th,3,Widowed,Private,Machine-op-inspct,40,<=50K,0
62,Female,Some-college,10,Married,Private,Adm-clerical,40,<=50K,0
44,Male,Bachelors,13,Married,Private,Craft-repair,40,>50K,1
26,Female,Some-college,10,Married,Private,Prof-specialty,40,<=50K,0
57,Female,HS-grad,9,Separated,Private,Other-service,40,<=50K,0
54,Male,5th-6th,3,Married,Self-emp,Farming-fishing,55,<=50K,0
70,Male,HS-grad,9,Married,Local-gov,Exec-managerial,22,<=50K,0
50,Male,HS-grad,9,Married,Self-emp,Exec-managerial,70,>50K,1
34,Female,HS-grad,9,Divorced,Private,Adm-clerical,40,<=50K,0
34,Male,Bachelors,13,Married,State-gov,Prof-specialty,55,<=50K,0
42,Female,HS-grad,9,Divorced,Private,Machine-op-inspct,40,<=50K,0
29,Female,Some-college,10,Never-married,Private,Sales,40,<=50K,0
29,Female,Some-college,10,Married,Private,Tech-support,20,<=50K,0
33,Male,HS-grad,9,Separated,Private,Tech-support,40,<=50K,0
19,Male,HS-grad,9,Never-married,Private,Craft-repair,45,<=50K,0
28,Male,HS-grad,9,Never-married,Private,Tech-support,50,<=50K,0
18,Female,HS-grad,9,Never-married,Private,Adm-clerical,40,<=50K,0
30,Male,Bachelors,13,Married,Local-gov,Prof-specialty,80,<=50K,0
27,Male,Assoc-acdm,12,Never-married,Private,Exec-managerial,40,<=50K,0
32,Male,9th,5,Married,Private,Farming-fishing,40,<=50K,0
46,Male,Bachelors,13,Married,Private,Machine-op-inspct,40,>50K,1
40,Male,Bachelors,13,Married,Private,Exec-managerial,50,>50K,1
35,Female,Bachelors,13,Married,Private,Adm-clerical,40,<=50K,0
33,Male,Assoc-voc,11,Never-married,Local-gov,Protective-serv,56,<=50K,0
27,Male,HS-grad,9,Married,Private,Transport-moving,35,<=50K,0
46,Male,HS-grad,9,Divorced,Private,Craft-repair,30,<=50K,0
24,Male,HS-grad,9,Married,Private,Sales,45,<=50K,0
67,Male,Bachelors,13,Married,Self-emp,Sales,40,>50K,1
22,Male,Bachelors,13,Never-married,Private,Prof-specialty,50,<=50K,0
23,Male,Some-college,10,Never-married,Private,Other-service,40,<=50K,0
35,Female,HS-grad,9,Never-married,Local-gov,Adm-clerical,40,<=50K,0
51,Male,11th,7,Married,Private,Machine-op-inspct,40,<=50K,0
47,Male,Some-college,10,Married,Federal-gov,Craft-repair,40,>50K,1
21,Female,Some-college,10,Never-married,Private,Sales,55,<=50K,0
20,Female,HS-grad,9,Never-married,Self-emp,Machine-op-inspct,30,<=50K,0
39,Male,Bachelors,13,Married,Local-gov,Craft-repair,42,<=50K,0
22,Male,11th,7,Never-married,Private,Craft-repair,40,<=50K,0
